Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
2020,Europe,Netherlands,8070000,1170000,7550000,100000,50000,40000,40000,30000,17040000
2020,Asia-Pacific,New Caledonia,230000,10000,30000,10000,10000,10000,10000,10000,280000
2020,Asia-Pacific,New Zealand,2540000,80000,1910000,120000,90000,20000,40000,10000,4810000
2020,Latin America-Caribbean,Nicaragua,5710000,10000,870000,10000,10000,90000,10000,10000,6690000
2020,Sub-Saharan Africa,Niger,200000,21660000,170000,10000,10000,20000,10000,10000,22040000
2020,Sub-Saharan Africa,Nigeria,96080000,104650000,790000,10000,20000,3050000,110000,10000,204690000
2020,Asia-Pacific,Niue,10000,10000,10000,10000,10000,10000,10000,10000,10000
2020,Asia-Pacific,North Korea,500000,10000,18070000,10000,380000,3130000,3270000,10000,25350000
2020,Asia-Pacific,Northern Mariana Islands,50000,10000,10000,10000,10000,10000,10000,10000,60000
2020,Europe,Norway,4230000,250000,600000,30000,40000,10000,10000,10000,5180000
2020,Middle East-North Africa,Oman,220000,2890000,10000,190000,20000,10000,30000,10000,3370000
2020,Asia-Pacific,Pakistan,3260000,200490000,30000,3990000,20000,40000,30000,10000,207860000
2020,Asia-Pacific,Palau,20000,10000,10000,10000,10000,10000,10000,10000,20000
2020,Middle East-North Africa,Palestinian territories,110000,5250000,10000,10000,10000,10000,10000,10000,5360000
2020,Latin America-Caribbean,Panama,3720000,30000,200000,10000,10000,20000,20000,20000,4020000
2020,Asia-Pacific,Papua New Guinea,8390000,10000,10000,10000,10000,40000,20000,10000,8460000
2020,Latin America-Caribbean,Paraguay,7390000,10000,90000,10000,10000,130000,10000,10000,7630000
2020,Latin America-Caribbean,Peru,31420000,10000,1010000,10000,50000,330000,110000,10000,32920000
2020,Asia-Pacific,Philippines,102320000,6330000,110000,10000,100000,1750000,160000,10000,110780000
2020,Europe,Poland,35120000,20000,2780000,10000,10000,10000,10000,10000,37950000
2020,Europe,Portugal,9370000,40000,890000,10000,20000,20000,10000,10000,10360000
2020,Latin America-Caribbean,Puerto Rico,3660000,10000,80000,10000,10000,30000,10000,10000,3790000
2020,Middle East-North Africa,Qatar,310000,1490000,20000,360000,90000,10000,10000,10000,2290000
2020,Sub-Saharan Africa,Reunion,820000,40000,20000,40000,10000,10000,10000,10000,940000
2020,Europe,Romania,20320000,80000,20000,10000,10000,10000,10000,10000,20430000
2020,Europe,Russia,101900000,15940000,21190000,60000,170000,300000,10000,200000,139760000
2020,Sub-Saharan Africa,Rwanda,13230000,310000,430000,10000,10000,100000,30000,10000,14100000
2020,Sub-Saharan Africa,St. Helena,10000,10000,10000,10000,10000,10000,10000,10000,10000
2020,Latin America-Caribbean,St. Kitts and Nevis,60000,10000,10000,10000,10000,10000,10000,10000,60000
2020,Latin America-Caribbean,St. Lucia,180000,10000,10000,10000,10000,10000,10000,10000,190000
2020,North America,St. Pierre and Miquelon,10000,10000,10000,10000,10000,10000,10000,10000,10000
2020,Latin America-Caribbean,St. Vincent and the Grenadines,110000,10000,10000,10000,10000,10000,10000,10000,120000
2020,Asia-Pacific,Samoa,220000,10000,10000,10000,10000,10000,10000,10000,220000
2020,Europe,San Marino,30000,10000,10000,10000,10000,10000,10000,10000,30000
2020,Sub-Saharan Africa,Sao Tome and Principe,170000,10000,30000,10000,10000,10000,10000,10000,210000
2020,Middle East-North Africa,Saudi Arabia,1450000,30690000,210000,440000,130000,90000,80000,10000,33090000
2020,Sub-Saharan Africa,Senegal,530000,15480000,10000,10000,10000,10000,10000,10000,16020000
2020,Europe,Serbia,7040000,390000,260000,10000,10000,10000,10000,10000,7690000
2020,Sub-Saharan Africa,Seychelles,90000,10000,10000,10000,10000,10000,10000,10000,100000
2020,Sub-Saharan Africa,Sierra Leone,1460000,5620000,10000,10000,10000,60000,10000,10000,7160000
2020,Asia-Pacific,Singapore,1040000,950000,970000,380000,1890000,140000,500000,10000,5870000
2020,Europe,Slovakia,4640000,20000,880000,10000,10000,10000,10000,10000,5550000
2020,Europe,Slovenia,1550000,80000,380000,10000,10000,10000,10000,10000,2010000
2020,Asia-Pacific,Solomon Islands,670000,10000,10000,10000,10000,10000,10000,10000,680000
2020,Sub-Saharan Africa,Somalia,10000,12110000,10000,10000,10000,10000,10000,10000,12140000
2020,Sub-Saharan Africa,South Africa,43530000,1010000,8220000,540000,90000,260000,180000,60000,53890000
2020,Asia-Pacific,South Korea,15000000,150000,23250000,20000,10950000,410000,110000,10000,49890000
2020,Europe,Spain,36410000,1610000,10190000,40000,20000,50000,20000,60000,48400000
2020,Asia-Pacific,Sri Lanka,1620000,2340000,10000,3090000,15440000,10000,10000,10000,22510000
2020,Middle East-North Africa,Sudan,2280000,38430000,440000,10000,10000,1200000,10000,10000,42360000
2020,Latin America-Caribbean,Suriname,300000,80000,40000,110000,10000,30000,10000,10000,580000
2020,Sub-Saharan Africa,Swaziland,1180000,10000,130000,10000,10000,10000,10000,10000,1330000
2020,Europe,Sweden,6210000,640000,2860000,30000,60000,20000,20000,10000,9860000
2020,Europe,Switzerland,5530000,440000,1800000,40000,50000,10000,10000,20000,7900000
2020,Middle East-North Africa,Syria,1260000,22590000,500000,10000,10000,10000,10000,10000,24350000
2020,Asia-Pacific,Taiwan,1350000,10000,3190000,10000,4930000,10190000,3610000,10000,23280000
2020,Asia-Pacific,Tajikistan,150000,8130000,130000,10000,10000,10000,10000,10000,8430000
2020,Sub-Saharan Africa,Tanzania,38740000,20950000,1000000,50000,10000,670000,20000,10000,61440000
2020,Asia-Pacific,Thailand,650000,4290000,200000,80000,66120000,60000,10000,10000,71420000
2020,Asia-Pacific,Timor-Leste,1520000,10000,10000,10000,10000,10000,10000,10000,1530000
2020,Sub-Saharan Africa,Togo,3070000,1020000,450000,10000,10000,2680000,40000,10000,7260000
2020,Asia-Pacific,Tokelau,10000,10000,10000,10000,10000,10000,10000,10000,10000
2020,Asia-Pacific,Tonga,130000,10000,10000,10000,10000,10000,10000,10000,130000
2020,Latin America-Caribbean,Trinidad and Tobago,910000,80000,30000,310000,10000,30000,20000,10000,1370000
2020,Middle East-North Africa,Tunisia,20000,11440000,30000,10000,10000,10000,10000,10000,11490000
2020,Asia-Pacific,Turkey,380000,79090000,960000,10000,40000,30000,170000,30000,80680000
2020,Asia-Pacific,Turkmenistan,370000,5340000,30000,10000,10000,10000,10000,10000,5740000
2020,Latin America-Caribbean,Turks and Caicos Islands,30000,10000,10000,10000,10000,10000,10000,10000,40000
2020,Asia-Pacific,Tuvalu,10000,10000,10000,10000,10000,10000,10000,10000,10000
2020,Sub-Saharan Africa,Uganda,39390000,5550000,230000,140000,10000,390000,50000,10000,45760000
2020,Europe,Ukraine,36860000,730000,5370000,30000,20000,20000,10000,40000,43070000
2020,Middle East-North Africa,United Arab Emirates,1110000,6420000,100000,660000,210000,10000,60000,10000,8560000
2020,Europe,United Kingdom,38020000,3950000,20070000,1030000,380000,90000,500000,270000,64310000
2020,North America,United States,252870000,3850000,62310000,2510000,4170000,850000,2770000,5700000,335030000
2020,Latin America-Caribbean,U.S. Virgin Islands,110000,10000,10000,10000,10000,10000,10000,10000,110000
2020,Latin America-Caribbean,Uruguay,1990000,10000,1450000,10000,10000,30000,10000,10000,3490000
2020,Asia-Pacific,Uzbekistan,620000,30180000,240000,10000,10000,20000,10000,10000,31080000
2020,Asia-Pacific,Vanuatu,280000,10000,10000,10000,10000,10000,10000,10000,300000
2020,Latin America-Caribbean,Venezuela,29540000,100000,3220000,10000,10000,120000,30000,10000,33010000
2020,Asia-Pacific,Vietnam,8070000,180000,28760000,10000,15560000,43360000,390000,10000,96320000
2020,Asia-Pacific,Wallis and Futuna,10000,10000,10000,10000,10000,10000,10000,10000,10000
2020,Middle East-North Africa,Western Sahara,10000,610000,10000,10000,10000,10000,10000,10000,610000
2020,Middle East-North Africa,Yemen,50000,32060000,30000,200000,10000,10000,10000,10000,32360000
2020,Sub-Saharan Africa,Zambia,17510000,110000,100000,20000,10000,60000,170000,10000,17970000
2020,Sub-Saharan Africa,Zimbabwe,12720000,140000,1110000,10000,10000,580000,40000,10000,14610000
2020,Sub-Saharan Africa,South Sudan,7530000,770000,60000,10000,10000,4090000,10000,10000,12450000
2020,Latin America-Caribbean,Curacao,160000,10000,10000,10000,10000,10000,10000,10000,170000
2020,Latin America-Caribbean,Sint Maarten,50000,10000,10000,10000,10000,10000,10000,10000,50000
2020,Latin America-Caribbean,Caribbean Netherlands,20000,10000,10000,10000,10000,10000,10000,10000,20000
